ArrDelay,DayOfWeek,LateAircraft
16,Fri,Not Late
19,Wed,Late
26,Fri,Late
31,Thurs,Not Late
59,Sat,Not Late
78,Fri,Late
93,Mon,Late
143,Sun,Not Late
70,Thurs,Late
47,Sun,Not Late
73,Sat,Not Late
33,Wed,Late
170,Thurs,Late
50,Mon,Late
29,Sat,Late
319,Sat,Late
132,Tues,Late
189,Fri,Not Late
20,Fri,Late
126,Fri,Late
45,Wed,Not Late
41,Sat,Not Late
22,Fri,Late
64,Sat,Late
23,Fri,Late
23,Mon,Not Late
40,Thurs,Not Late
22,Thurs,Not Late
20,Fri,Not Late
70,Sun,Not Late
231,Fri,Late
55,Thurs,Not Late
19,Fri,Late
161,Tues,Not Late
29,Tues,Not Late
128,Wed,Not Late
101,Sun,Late
19,Sat,Not Late
38,Sun,Not Late
20,Fri,Late
35,Wed,Late
229,Wed,Late
21,Thurs,Not Late
57,Wed,Not Late
28,Sun,Not Late
19,Wed,Not Late
168,Thurs,Not Late
28,Mon,Not Late
117,Wed,Late
45,Sun,Not Late
188,Fri,Not Late
114,Mon,Late
24,Thurs,Not Late
38,Sun,Late
27,Fri,Late
19,Mon,Not Late
129,Wed,Late
27,Fri,Late
60,Tues,Late
47,Sun,Late
28,Thurs,Not Late
29,Mon,Not Late
41,Mon,Not Late
21,Thurs,Not Late
81,Sun,Not Late
170,Thurs,Late
36,Thurs,Not Late
16,Mon,Not Late
79,Wed,Late
74,Thurs,Late
35,Thurs,Not Late
16,Wed,Not Late
54,Tues,Late
20,Sat,Not Late
81,Tues,Late
46,Wed,Late
101,Tues,Not Late
50,Sat,Not Late
32,Sat,Not Late
28,Fri,Late
35,Sat,Late
29,Tues,Late
40,Sun,Not Late
81,Mon,Not Late
29,Wed,Late
24,Fri,Late
95,Tues,Late
50,Thurs,Late
113,Sun,Late
68,Tues,Late
200,Sun,Late
64,Mon,Late
73,Sat,Not Late
22,Thurs,Not Late
64,Sun,Late
76,Tues,Not Late
36,Wed,Not Late
41,Tues,Late
59,Tues,Not Late
46,Sun,Late
41,Tues,Not Late
15,Wed,Not Late
79,Mon,Late
47,Thurs,Late
25,Thurs,Late
22,Sun,Not Late
37,Sat,Not Late
25,Thurs,Not Late
23,Fri,Late
31,Mon,Late
21,Mon,Late
20,Tues,Late
30,Sun,Late
36,Mon,Late
50,Tues,Not Late
17,Sun,Not Late
15,Tues,Not Late
57,Wed,Late
51,Mon,Late
198,Thurs,Late
28,Tues,Late
20,Sat,Not Late
170,Tues,Not Late
57,Thurs,Late
40,Fri,Not Late
18,Sat,Late
19,Wed,Late
25,Sun,Late
84,Fri,Late
17,Wed,Not Late
218,Tues,Late
55,Fri,Not Late
44,Fri,Not Late
37,Thurs,Not Late
36,Fri,Not Late
25,Fri,Late
32,Fri,Not Late
36,Fri,Late
35,Wed,Not Late
26,Thurs,Not Late
35,Tues,Late
33,Sun,Not Late
52,Sun,Late
143,Mon,Not Late
216,Fri,Late
37,Tues,Late
18,Sun,Late
38,Tues,Late
27,Mon,Late
36,Fri,Late
15,Sun,Late
20,Mon,Late
32,Wed,Late
28,Thurs,Late
68,Mon,Late
18,Thurs,Not Late
23,Thurs,Not Late
17,Sat,Not Late
19,Thurs,Not Late
18,Tues,Not Late
247,Fri,Late
24,Thurs,Late
24,Sat,Late
40,Wed,Not Late
147,Mon,Late
25,Fri,Not Late
66,Tues,Late
